,City,State,Country,log,lat,log_S,lat_S,log_Con,lat_Con,id_country,id_state,id_city
28,Uige,Uige Province,Angola,15.4799164,-6.9516802,15.4799164,-6.9516802,17.5691241,-11.8775768,5,10022,40029
29,Saint John’s,Saint John Parish,Antigua And Barbuda,-61.8448509,17.1184569,-61.8448509,17.1184569,-61.9554608,17.2234721,6,10023,40030
30,Bethesda,Saint Paul Parish,Antigua And Barbuda,-77.12335871396549,38.98127255,-41.096092456982745,44.568246125,-61.9554608,17.2234721,6,10024,40031
31,Falmouth,Saint Paul Parish,Antigua And Barbuda,-5.0688262,50.1552197,-41.096092456982745,44.568246125,-61.9554608,17.2234721,6,10024,40032
32,All Saints,Saint Peter Parish,Antigua And Barbuda,-2.9875049,50.805436,-2.9875049,50.805436,-61.9554608,17.2234721,6,10025,40033
33,Buenos Aires,Buenos Aires Province,Argentina,-58.4370894,-34.6075682,-58.42955412,-34.60877742,-64.9672817,-34.9964963,7,10026,40034
34,Balvanera,Buenos Aires Province,Argentina,-58.4031396,-34.6092155,-58.42955412,-34.60877742,-64.9672817,-34.9964963,7,10026,40035
35,Belgrano,Buenos Aires Province,Argentina,-58.4565454,-34.5613076,-58.42955412,-34.60877742,-64.9672817,-34.9964963,7,10026,40036
36,Retiro,Buenos Aires Province,Argentina,-58.373307,-34.5916426,-58.42955412,-34.60877742,-64.9672817,-34.9964963,7,10026,40037
37,Villa Lugano,Buenos Aires Province,Argentina,-58.4776892,-34.6741532,-58.42955412,-34.60877742,-64.9672817,-34.9964963,7,10026,40038
38,San Fernando del Valle de Catamarca,Catamarca Province,Argentina,-65.7790719,-28.4689063,-65.7790719,-28.4689063,-64.9672817,-34.9964963,7,10027,40039
39,Resistencia,Chaco Province,Argentina,-58.9865196,-27.4511235,-59.77820157755757,-27.4245413,-64.9672817,-34.9964963,7,10028,40040
40,Machagai,Chaco Province,Argentina,-60.05823272462102,-26.92930105,-59.77820157755757,-27.4245413,-64.9672817,-34.9964963,7,10028,40041
41,Santa Sylvina,Chaco Province,Argentina,-61.13717738560928,-27.83264285,-59.77820157755757,-27.4245413,-64.9672817,-34.9964963,7,10028,40042
42,Barranqueras,Chaco Province,Argentina,-58.9308766,-27.4850978,-59.77820157755757,-27.4245413,-64.9672817,-34.9964963,7,10028,40043
43,Trelew,Chubut Province,Argentina,-65.3094407,-43.2531242,-65.3094407,-43.2531242,-64.9672817,-34.9964963,7,10029,40044
44,Cordoba,Cordoba Province,Argentina,-4.7760138,37.8845813,-56.88871740714286,-10.71935865,-64.9672817,-34.9964963,7,10030,40045
45,Villa Allende,Cordoba Province,Argentina,-94.3904547,18.1535858,-56.88871740714286,-10.71935865,-64.9672817,-34.9964963,7,10030,40046
46,Bell Ville,Cordoba Province,Argentina,-62.6888782,-32.6300707,-56.88871740714286,-10.71935865,-64.9672817,-34.9964963,7,10030,40047
47,Rio Cuarto,Cordoba Province,Argentina,-64.3489782,-33.1237585,-56.88871740714286,-10.71935865,-64.9672817,-34.9964963,7,10030,40048
48,Mendiolaza,Cordoba Province,Argentina,-64.3017554,-31.2702627,-56.88871740714286,-10.71935865,-64.9672817,-34.9964963,7,10030,40049
49,Sampacho,Cordoba Province,Argentina,-64.7229476,-33.3840703,-56.88871740714286,-10.71935865,-64.9672817,-34.9964963,7,10030,40050
50,Villa Dolores,Cordoba Province,Argentina,-65.1902298,-31.9449632,-56.88871740714286,-10.71935865,-64.9672817,-34.9964963,7,10030,40051
51,Unquillo,Cordoba Province,Argentina,-64.3164639,-31.2339887,-56.88871740714286,-10.71935865,-64.9672817,-34.9964963,7,10030,40052
52,Pilar,Cordoba Province,Argentina,126.100284,9.8638279,-56.88871740714286,-10.71935865,-64.9672817,-34.9964963,7,10030,40053
53,Huinca Renanco,Cordoba Province,Argentina,-64.3749321,-34.8410441,-56.88871740714286,-10.71935865,-64.9672817,-34.9964963,7,10030,40054
54,Rio Ceballos,Cordoba Province,Argentina,-64.3160951,-31.1709088,-56.88871740714286,-10.71935865,-64.9672817,-34.9964963,7,10030,40055
55,San Carlos,Cordoba Province,Argentina,-122.261823,37.504936,-56.88871740714286,-10.71935865,-64.9672817,-34.9964963,7,10030,40056
56,Alta Gracia,Cordoba Province,Argentina,-64.4338499,-31.6579113,-56.88871740714286,-10.71935865,-64.9672817,-34.9964963,7,10030,40057
57,San Francisco,Cordoba Province,Argentina,-122.419906,37.7790262,-56.88871740714286,-10.71935865,-64.9672817,-34.9964963,7,10030,40058
58,Gobernador Virasora,Corrientes,Argentina,,,,,-64.9672817,-34.9964963,7,10031,40059
59,Parana,Entre Rios Province,Argentina,-51.8148872,-24.4842187,-27.387550320000003,-10.5637048,-64.9672817,-34.9964963,7,10032,40060
60,Victoria,Entre Rios Province,Argentina,144.6780052,-36.5986096,-27.387550320000003,-10.5637048,-64.9672817,-34.9964963,7,10032,40061
61,Concepcion del Uruguay,Entre Rios Province,Argentina,-58.2320232,-32.4851849,-27.387550320000003,-10.5637048,-64.9672817,-34.9964963,7,10032,40062
62,Colon,Entre Rios Province,Argentina,-79.8974085,9.3553005,-27.387550320000003,-10.5637048,-64.9672817,-34.9964963,7,10032,40063
63,Concordia,Entre Rios Province,Argentina,-91.6714379,31.3941887,-27.387550320000003,-10.5637048,-64.9672817,-34.9964963,7,10032,40064
64,San Salvador de Jujuy,Jujuy Province,Argentina,-65.2994789,-24.1852569,-65.36852383333333,-23.51507043333333,-64.9672817,-34.9964963,7,10033,40065
65,La Quiaca,Jujuy Province,Argentina,-65.5966941,-22.1044609,-65.36852383333333,-23.51507043333333,-64.9672817,-34.9964963,7,10033,40066
66,Palpala,Jujuy Province,Argentina,-65.2093985,-24.2554935,-65.36852383333333,-23.51507043333333,-64.9672817,-34.9964963,7,10033,40067
67,Santa Rosa,La Pampa,Argentina,-122.7141049,38.4404925,-122.7141049,38.4404925,-64.9672817,-34.9964963,7,10034,40068
68,Mendoza,Mendoza,Argentina,-68.43818677312292,-34.78709305,-66.83810803695805,-34.502060207142854,-64.9672817,-34.9964963,7,10035,40069
69,Departamento de Godoy Cruz,Mendoza,Argentina,-68.8398063,-32.9214836,-66.83810803695805,-34.502060207142854,-64.9672817,-34.9964963,7,10035,40070
70,Departamento de Guaymallen,Mendoza,Argentina,-64.5101816,-31.4233874,-66.83810803695805,-34.502060207142854,-64.9672817,-34.9964963,7,10035,40071
71,Departamento de Rivadavia,Mendoza,Argentina,-64.1490799,-31.4322511,-66.83810803695805,-34.502060207142854,-64.9672817,-34.9964963,7,10035,40072
72,Godoy Cruz,Mendoza,Argentina,-68.8449978,-32.9244708,-66.83810803695805,-34.502060207142854,-64.9672817,-34.9964963,7,10035,40073
73,Las Heras,Mendoza,Argentina,-68.92506358558342,-46.5897167,-66.83810803695805,-34.502060207142854,-64.9672817,-34.9964963,7,10035,40074
74,Departamento de Maipú,Mendoza,Argentina,-64.1594403,-31.4360188,-66.83810803695805,-34.502060207142854,-64.9672817,-34.9964963,7,10035,40075
75,Posadas,Misiones Province,Argentina,-55.949711812781445,-27.4035083,-55.949711812781445,-27.4035083,-64.9672817,-34.9964963,7,10036,40076
76,Neuquen,Neuquen Province,Argentina,-69.832275,-38.3695057,-63.1654612,-35.5989126,-64.9672817,-34.9964963,7,10037,40077
77,Centenario,Neuquen Province,Argentina,-56.4986474,-32.8283195,-63.1654612,-35.5989126,-64.9672817,-34.9964963,7,10037,40078
78,San Carlos de Bariloche,Rio Negro Province,Argentina,-71.3098425,-41.1334421,-69.4426644,-40.08003485,-64.9672817,-34.9964963,7,10038,40079
79,General Roca,Rio Negro Province,Argentina,-67.5754863,-39.0266276,-69.4426644,-40.08003485,-64.9672817,-34.9964963,7,10038,40080
80,Salta,Salta Province,Argentina,-64.3494964,-25.1076701,-64.0740646,-23.8135597,-64.9672817,-34.9964963,7,10039,40081
81,Departamento de Rosario de Lerma,Salta Province,Argentina,,,-64.0740646,-23.8135597,-64.9672817,-34.9964963,7,10039,40082
82,Tartagal,Salta Province,Argentina,-63.7986328,-22.5194493,-64.0740646,-23.8135597,-64.9672817,-34.9964963,7,10039,40083
83,Rosario,Santa Fe Province,Argentina,-60.6615415,-32.9595004,-65.037764475,-25.38191665,-64.9672817,-34.9964963,7,10040,40084
84,Santa Fe,Santa Fe Province,Argentina,-61.1645076,-30.3154739,-65.037764475,-25.38191665,-64.9672817,-34.9964963,7,10040,40085
85,Rafaela,Santa Fe Province,Argentina,-61.4916758,-31.2526923,-65.037764475,-25.38191665,-64.9672817,-34.9964963,7,10040,40086
86,Departamento de San Martin,Santa Fe Province,Argentina,-76.833333,-7.0,-65.037764475,-25.38191665,-64.9672817,-34.9964963,7,10040,40087
87,Santiago del Estero,Santiago del Estero Province,Argentina,-63.5408542,-27.6431016,-63.5408542,-27.6431016,-64.9672817,-34.9964963,7,10041,40088
88,Ushuaia,Tierra del Fuego Province,Argentina,-68.3184972880496,-54.8061159,-87.3508563940248,-8.619646800000002,-64.9672817,-34.9964963,7,10042,40089
89,Rio Grande,Tierra del Fuego Province,Argentina,-106.3832155,37.5668223,-87.3508563940248,-8.619646800000002,-64.9672817,-34.9964963,7,10042,40090
90,San Miguel de Tucuman,Tucuman Province,Argentina,-65.2038133,-26.8303703,-65.25099234999999,-26.8212642,-64.9672817,-34.9964963,7,10043,40091
91,Yerba Buena,Tucuman Province,Argentina,-65.2981714,-26.8121581,-65.25099234999999,-26.8212642,-64.9672817,-34.9964963,7,10043,40092
92,Abovyan,Kotayk Region,Armenia,44.6333951,40.2714761,44.6333951,40.2714761,44.6736646,40.7696272,8,10044,40093
93,Gyumri,Shirak Region,Armenia,43.8416095,40.7852085,43.8416095,40.7852085,44.6736646,40.7696272,8,10045,40094
94,Yerevan,Yerevan,Armenia,44.5126233,40.1777112,44.5126233,40.1777112,44.6736646,40.7696272,8,10046,40095
95,Garran,Australian Capital Territory,Australia,149.1085392,-35.3413973,73.75857012181648,8.271984925000002,134.755,-24.7761086,9,10047,40096
96,Lyneham,Australian Capital Territory,Australia,-1.5913989563670414,51.88536715,73.75857012181648,8.271984925000002,134.755,-24.7761086,9,10047,40097
97,Sydney,New South Wales,Australia,151.2082848,-33.8698439,80.56159434738979,-2.00208258076923,134.755,-24.7761086,9,10048,40098
98,Mascot,New South Wales,Australia,151.1951782,-33.9289562,80.56159434738979,-2.00208258076923,134.755,-24.7761086,9,10048,40099
99,Newtown,New South Wales,Australia,-3.314371,52.5135785,80.56159434738979,-2.00208258076923,134.755,-24.7761086,9,10048,40100
100,Mosman,New South Wales,Australia,151.2447663,-33.8301355,80.56159434738979,-2.00208258076923,134.755,-24.7761086,9,10048,40101
101,Rose Bay,New South Wales,Australia,151.265471,-33.8741644,80.56159434738979,-2.00208258076923,134.755,-24.7761086,9,10048,40102
102,Wentworthville,New South Wales,Australia,150.9677778,-33.8066667,80.56159434738979,-2.00208258076923,134.755,-24.7761086,9,10048,40103
103,Randwick,New South Wales,Australia,151.24403017442353,-33.94551675,80.56159434738979,-2.00208258076923,134.755,-24.7761086,9,10048,40104
104,Berry,New South Wales,Australia,-78.31515205835606,48.8439398,80.56159434738979,-2.00208258076923,134.755,-24.7761086,9,10048,40105
105,Edmondson Park,New South Wales,Australia,150.8563294,-33.9628336,80.56159434738979,-2.00208258076923,134.755,-24.7761086,9,10048,40106
106,Kensington,New South Wales,Australia,-0.1991229,51.4989948,80.56159434738979,-2.00208258076923,134.755,-24.7761086,9,10048,40107
107,Alexandria,New South Wales,Australia,-77.0470229,38.8051095,80.56159434738979,-2.00208258076923,134.755,-24.7761086,9,10048,40108
108,Glebe,New South Wales,Australia,151.1862377,-33.8777782,80.56159434738979,-2.00208258076923,134.755,-24.7761086,9,10048,40109
109,Liverpool,New South Wales,Australia,-2.99168,53.4071991,80.56159434738979,-2.00208258076923,134.755,-24.7761086,9,10048,40110
110,West End,Queensland,Australia,-71.0638993,42.3639186,78.34092424177979,-4.210459866666668,134.755,-24.7761086,9,10049,40111
111,Brisbane,Queensland,Australia,153.0234991,-27.4689682,78.34092424177979,-4.210459866666668,134.755,-24.7761086,9,10049,40112
112,Holland Park West,Queensland,Australia,153.06317292533936,-27.52633,78.34092424177979,-4.210459866666668,134.755,-24.7761086,9,10049,40113
113,Adelaide,South Australia,Australia,138.5999312,-34.9281805,28.04409320000001,2.7104727749999995,134.755,-24.7761086,9,10050,40114
114,Henley Beach,South Australia,Australia,138.4986953,-34.9158802,28.04409320000001,2.7104727749999995,134.755,-24.7761086,9,10050,40115
115,Norwood,South Australia,Australia,-89.6987129,40.7055931,28.04409320000001,2.7104727749999995,134.755,-24.7761086,9,10050,40116
116,Parkside,South Australia,Australia,-75.2235408,39.9803587,28.04409320000001,2.7104727749999995,134.755,-24.7761086,9,10050,40117
117,Kingston,Tasmania,Australia,-76.7928128,17.9712148,76.57516142000767,-14.212051554545456,134.755,-24.7761086,9,10051,40118
118,Taroona,Tasmania,Australia,147.3503639,-42.9478718,76.57516142000767,-14.212051554545456,134.755,-24.7761086,9,10051,40119
119,Montrose,Tasmania,Australia,-108.2403855,38.4375391,76.57516142000767,-14.212051554545456,134.755,-24.7761086,9,10051,40120
120,Hobart,Tasmania,Australia,147.3281233,-42.8825088,76.57516142000767,-14.212051554545456,134.755,-24.7761086,9,10051,40121
121,Sorell,Tasmania,Australia,147.66708321051306,-42.7885865,76.57516142000767,-14.212051554545456,134.755,-24.7761086,9,10051,40122
122,Moonah,Tasmania,Australia,147.2970752,-42.8429874,76.57516142000767,-14.212051554545456,134.755,-24.7761086,9,10051,40123
123,South Hobart,Tasmania,Australia,147.3092219,-42.8960515,76.57516142000767,-14.212051554545456,134.755,-24.7761086,9,10051,40124
124,Margate,Tasmania,Australia,1.3819699,51.3878174,76.57516142000767,-14.212051554545456,134.755,-24.7761086,9,10051,40125
125,Sandy Bay,Tasmania,Australia,-5.340298690428538,36.1307844,76.57516142000767,-14.212051554545456,134.755,-24.7761086,9,10051,40126
126,North Hobart,Tasmania,Australia,147.3161567,-42.8726803,76.57516142000767,-14.212051554545456,134.755,-24.7761086,9,10051,40127
127,Huonville,Tasmania,Australia,147.0502785,-43.0292365,76.57516142000767,-14.212051554545456,134.755,-24.7761086,9,10051,40128
128,Melbourne,Victoria,Australia,144.9631608,-37.8142176,119.83388372729438,-21.961423016666668,134.755,-24.7761086,9,10052,40129
129,Ascot Vale,Victoria,Australia,144.9218467,-37.775316,119.83388372729438,-21.961423016666668,134.755,-24.7761086,9,10052,40130
130,Fitzroy North,Victoria,Australia,144.9837074,-37.7833316,119.83388372729438,-21.961423016666668,134.755,-24.7761086,9,10052,40131
131,Armadale,Victoria,Australia,-5.8993967,57.0656468,119.83388372729438,-21.961423016666668,134.755,-24.7761086,9,10052,40132
132,Mill Park,Victoria,Australia,145.06492155517242,-37.64387125,119.83388372729438,-21.961423016666668,134.755,-24.7761086,9,10052,40133
133,Melbourne City Centre,Victoria,Australia,144.96906260859384,-37.81744845,119.83388372729438,-21.961423016666668,134.755,-24.7761086,9,10052,40134
134,Murdoch,Western Australia,Australia,115.8504737,-32.0664255,72.98744142167787,-10.145180492857142,134.755,-24.7761086,9,10053,40135
135,Beeliar,Western Australia,Australia,115.821758,-32.141207,72.98744142167787,-10.145180492857142,134.755,-24.7761086,9,10053,40136
136,Perth,Western Australia,Australia,115.8605801,-31.9558964,72.98744142167787,-10.145180492857142,134.755,-24.7761086,9,10053,40137
137,Kingsley,Western Australia,Australia,-95.9672535,42.588231,72.98744142167787,-10.145180492857142,134.755,-24.7761086,9,10053,40138
138,Warwick,Western Australia,Australia,-1.5815742,52.2814519,72.98744142167787,-10.145180492857142,134.755,-24.7761086,9,10053,40139
139,Jolimont,Western Australia,Australia,144.9838372088187,-37.81650195,72.98744142167787,-10.145180492857142,134.755,-24.7761086,9,10053,40140
140,Bassendean,Western Australia,Australia,115.94426864292642,-31.9059155,72.98744142167787,-10.145180492857142,134.755,-24.7761086,9,10053,40141
141,Hollabrunn,Lower Austria,Austria,16.071896956175127,48.54886325,16.071896956175127,48.54886325,14.12456,47.59397,10,10054,40142
142,Anif,Salzburg,Austria,13.0638706,47.7497338,13.0638706,47.7497338,14.12456,47.59397,10,10055,40143
143,Graz,Styria,Austria,15.4382786,47.0708678,15.2665271,47.2256903,14.12456,47.59397,10,10056,40144
144,Leoben,Styria,Austria,15.0947756,47.3805128,15.2665271,47.2256903,14.12456,47.59397,10,10056,40145
145,Sankt Florian,Upper Austria,Austria,14.37866810328201,48.2012891,14.37866810328201,48.2012891,14.12456,47.59397,10,10057,40146
146,Vienna,Vienna,Austria,16.3725042,48.2083537,16.396200653150622,48.1889176,14.12456,47.59397,10,10058,40147
147,Simmering,Vienna,Austria,16.419897106301242,48.1694815,16.396200653150622,48.1889176,14.12456,47.59397,10,10058,40148
148,Baku,Baku,Azerbaijan,49.8328009,40.3755885,49.8328009,40.3755885,47.7872508,40.3936294,11,10059,40149
149,Ganja,Ganja,Azerbaijan,46.3597178,40.6798083,46.3597178,40.6798083,47.7872508,40.3936294,11,10060,40150
150,Marsh Harbour,Central Abaco,Bahamas The,-77.0610382,26.5382728,-77.0610382,26.5382728,-0.1486501141342756,51.5071471,12,10061,40151
151,Freeport,Freeport,Bahamas The,-89.6212271,42.2966861,-89.6212271,42.2966861,-0.1486501141342756,51.5071471,12,10062,40152
152,Nassau,New Providence,Bahamas The,-77.3383438,25.0782266,-77.3383438,25.0782266,-0.1486501141342756,51.5071471,12,10063,40153
153,Manama,Capital Governorate,Bahrain,50.5822436,26.2235041,40.41315796,33.00193084,50.5344606,26.1551249,13,10064,40154
154,Sitrah,Capital Governorate,Bahrain,50.6215444,26.1520215,40.41315796,33.00193084,50.5344606,26.1551249,13,10064,40155
155,Jidd ?af?,Capital Governorate,Bahrain,,,40.41315796,33.00193084,50.5344606,26.1551249,13,10064,40156
156,Mad?nat ?amad,Central Governorate,Bahrain,,,,,50.5344606,26.1551249,13,10065,40157
157,Al Muharraq,Muharraq Governorate,Bahrain,50.6164127,26.2465946,30.83222075,36.280535,50.5344606,26.1551249,13,10066,40158
158,,Muharraq Governorate,Bahrain,11.0480288,46.3144754,30.83222075,36.280535,50.5344606,26.1551249,13,10066,40159
159,Hamala,Northern Governorate,Bahrain,9.3561569,52.1039941,37.898303590290695,30.613261875,50.5344606,26.1551249,13,10067,40160
160,Abu Saiba,Northern Governorate,Bahrain,48.266157,30.325299,37.898303590290695,30.613261875,50.5344606,26.1551249,13,10067,40161
161,Al Maqsha,Northern Governorate,Bahrain,43.511291,13.831178,37.898303590290695,30.613261875,50.5344606,26.1551249,13,10067,40162
162,Maqabah,Northern Governorate,Bahrain,,,37.898303590290695,30.613261875,50.5344606,26.1551249,13,10067,40163
163,Janabiyah,Northern Governorate,Bahrain,50.45960946116279,26.1925764,37.898303590290695,30.613261875,50.5344606,26.1551249,13,10067,40164
164,D?r Kulayb,Southern Governorate,Bahrain,,,0.205271264396014,47.973781,50.5344606,26.1551249,13,10068,40165
165,Ar Rif?‘,Southern Governorate,Bahrain,0.205271264396014,47.973781,0.205271264396014,47.973781,50.5344606,26.1551249,13,10068,40166
166,Mad?nat ‘?sa,Southern Governorate,Bahrain,,,0.205271264396014,47.973781,50.5344606,26.1551249,13,10068,40167
167,Bogura,Bogra District,Bangladesh,89.3728431,24.8500662,89.3728431,24.8500662,90.2934413,24.4769288,14,10069,40168
168,Chattogram,Chittagong Division,Bangladesh,91.8342162,22.3336887,71.474334,28.610728575,90.2934413,24.4769288,14,10070,40169
169,Chittagong,Chittagong Division,Bangladesh,91.8342162,22.3336887,71.474334,28.610728575,90.2934413,24.4769288,14,10070,40170
170,,Chittagong Division,Bangladesh,11.0480288,46.3144754,71.474334,28.610728575,90.2934413,24.4769288,14,10070,40171
171,Comilla,Chittagong Division,Bangladesh,91.1808748,23.4610615,71.474334,28.610728575,90.2934413,24.4769288,14,10070,40172
172,Dhaka,Dhaka District,Bangladesh,90.389015,23.7644025,90.389015,23.7644025,90.2934413,24.4769288,14,10071,40173
173,Bhairab B?z?r,Dhaka District,Bangladesh,,,90.389015,23.7644025,90.2934413,24.4769288,14,10071,40174
174,Mirz?pur,Dhaka District,Bangladesh,,,90.389015,23.7644025,90.2934413,24.4769288,14,10071,40175
175,,Dhaka Division,Bangladesh,11.0480288,46.3144754,11.0480288,46.3144754,90.2934413,24.4769288,14,10072,40176
176,Dinajpur,Dinajpur District,Bangladesh,88.66573850595817,25.63163565,88.66573850595817,25.63163565,90.2934413,24.4769288,14,10073,40177
177,Gazipur,Gazipur District,Bangladesh,83.50745404887138,25.603508400000003,83.50745404887138,25.603508400000003,90.2934413,24.4769288,14,10074,40178
178,Khulna,Khulna District,Bangladesh,89.2852741,22.9372087,88.67560353665594,23.6995525,90.2934413,24.4769288,14,10075,40179
179,Phultala,Khulna District,Bangladesh,88.06593297331189,24.4618963,88.67560353665594,23.6995525,90.2934413,24.4769288,14,10075,40180
180,,Khulna Division,Bangladesh,11.0480288,46.3144754,11.0480288,46.3144754,90.2934413,24.4769288,14,10076,40181
181,Bhagalpur,Kishoreganj District,Bangladesh,87.13033088387233,25.2871758,87.13033088387233,25.2871758,90.2934413,24.4769288,14,10077,40182
182,Mymensingh,Mymensingh District,Bangladesh,90.41564812603733,24.7690447,90.41564812603733,24.7690447,90.2934413,24.4769288,14,10078,40183
183,Rajshahi,Rajshahi District,Bangladesh,88.5921038,24.3715513,88.5921038,24.3715513,90.2934413,24.4769288,14,10079,40184
184,Rangamati,Rangamati Hill District,Bangladesh,92.16747917599984,22.6896661,92.16747917599984,22.6896661,90.2934413,24.4769288,14,10080,40185
185,Rangpur,Rangpur District,Bangladesh,89.2002364775512,25.7479982,89.2002364775512,25.7479982,90.2934413,24.4769288,14,10081,40186
186,Sirajganj,Sirajganj District,Bangladesh,89.7081281,24.4566253,89.7081281,24.4566253,90.2934413,24.4769288,14,10082,40187
187,Sylhet,Sylhet District,Bangladesh,91.8685271,24.89922,91.8685271,24.89922,90.2934413,24.4769288,14,10083,40188
188,Mirzapur,Tangail District,Bangladesh,82.62574935763521,25.1010477,82.62574935763521,25.1010477,90.2934413,24.4769288,14,10084,40189
189,Oistins,Christ Church,Barbados,-59.542242,13.0631947,-59.542242,13.0631947,-59.5250305,13.1500331,15,10085,40190
190,Holetown,Saint James,Barbados,-59.637289,13.1856145,-59.637289,13.1856145,-59.5250305,13.1500331,15,10086,40191
191,Bridgetown,Saint Michael,Barbados,-59.6184184,13.0977832,-59.6184184,13.0977832,-59.5250305,13.1500331,15,10087,40192
192,Speightstown,Saint Peter,Barbados,-59.6423782,13.2500531,-59.6423782,13.2500531,-59.5250305,13.1500331,15,10088,40193
193,Crane,Saint Philip,Barbados,-102.5163544,31.4486118,-102.5163544,31.4486118,-59.5250305,13.1500331,15,10089,40194
194,Baranovichi,Brest Region,Belarus,25.97101338172825,53.13217855,26.036770390864124,52.621782375,27.6971358,53.4250605,16,10090,40195
195,Pinsk,Brest Region,Belarus,26.1025274,52.1113862,26.036770390864124,52.621782375,27.6971358,53.4250605,16,10090,40196
196,Hrodna,Grodno Region,Belarus,23.8342648,53.6834599,23.8342648,53.6834599,27.6971358,53.4250605,16,10091,40197
197,Minsk,Minsk,Belarus,27.5618225,53.9024716,27.5618225,53.9024716,27.6971358,53.4250605,16,10092,40198
198,Valozhyn,Minsk Region,Belarus,26.524609,54.084751,26.524609,54.084751,27.6971358,53.4250605,16,10093,40199
199,Brussels,Brussels-Capital Region,Belgium,4.351697,50.8465573,4.351697,50.8465573,4.6667145,50.6402809,17,10094,40200
200,Kortrijk,Flanders,Belgium,3.2659884,50.8276429,3.2659884,50.8276429,4.6667145,50.6402809,17,10095,40201
201,Belize City,Belize District,Belize,-88.2003115,17.5000543,-88.2003115,17.5000543,-88.7600927,16.8259793,18,10096,40202
202,San Ignacio,Cayo District,Belize,-106.27530726923776,23.92493515,-97.52266263461888,20.587567075,-88.7600927,16.8259793,18,10097,40203
203,Belmopan,Cayo District,Belize,-88.770018,17.250199,-97.52266263461888,20.587567075,-88.7600927,16.8259793,18,10097,40204
204,Dangriga,Stann Creek District,Belize,-88.2247368,16.9666599,-88.2247368,16.9666599,-88.7600927,16.8259793,18,10098,40205
