,City,id_state,log,lat,category,1_period,2_period,3_period,4_period,5_period,6_period,7_period,8_period,9_period,10_period,primary,secondary,tertiary,quaternary
35,Tirana,10004,19.82556285758297,41.3305141,Vet,21,20,32,71,47,80,91,25,88,22,84,87,65,84
36,Tirana,10004,19.82556285758297,41.3305141,Ene,46,33,49,17,32,51,34,96,11,69,16,68,44,37
37,Tirana,10004,19.82556285758297,41.3305141,hom,15,81,71,58,73,42,93,53,42,38,58,61,99,58
38,Tirana,10004,19.82556285758297,41.3305141,Tra,59,80,10,37,34,27,61,16,92,46,31,51,36,39
39,Tirana,10004,19.82556285758297,41.3305141,Una,93,88,16,18,79,21,89,64,39,61,55,87,73,38
40,Tirana,10005,19.82556285758297,41.3305141,Ayu,86,42,66,39,52,79,56,34,22,17,75,18,46,75
41,Tirana,10005,19.82556285758297,41.3305141,Chi,54,22,16,23,57,94,27,67,32,59,81,86,95,29
42,Tirana,10005,19.82556285758297,41.3305141,Den,75,21,56,36,55,98,39,88,53,59,56,17,33,15
43,Tirana,10005,19.82556285758297,41.3305141,Allo,26,38,18,21,19,92,19,85,25,61,28,75,20,37
44,Tirana,10005,19.82556285758297,41.3305141,Nat,63,59,50,73,24,51,85,17,89,76,66,10,17,39
45,Tirana,10005,19.82556285758297,41.3305141,Vet,62,59,25,48,51,23,73,22,20,48,99,11,53,96
46,Tirana,10005,19.82556285758297,41.3305141,Ene,18,52,69,37,70,43,88,14,91,84,25,33,57,50
47,Tirana,10005,19.82556285758297,41.3305141,hom,71,28,13,98,19,73,90,29,98,12,54,13,32,40
48,Tirana,10005,19.82556285758297,41.3305141,Tra,44,49,95,40,63,50,15,14,31,92,68,40,83,98
49,Tirana,10005,19.82556285758297,41.3305141,Una,79,50,30,80,97,11,47,56,22,62,40,72,45,52
50,Algiers,10006,3.0601882,36.7753606,Ayu,70,45,62,71,85,46,72,62,28,96,62,50,69,53
51,Algiers,10006,3.0601882,36.7753606,Chi,44,79,75,89,54,86,19,24,21,23,50,68,30,69
52,Algiers,10006,3.0601882,36.7753606,Den,99,20,84,62,13,48,72,10,68,97,68,79,35,84
53,Algiers,10006,3.0601882,36.7753606,Allo,26,22,43,29,95,50,34,30,29,92,95,82,91,56
54,Algiers,10006,3.0601882,36.7753606,Nat,20,64,56,36,20,35,92,81,16,77,62,74,23,85
55,Algiers,10006,3.0601882,36.7753606,Vet,87,42,87,67,78,85,41,34,26,63,34,10,95,84
56,Algiers,10006,3.0601882,36.7753606,Ene,26,32,57,66,15,42,70,42,21,24,84,13,42,70
57,Algiers,10006,3.0601882,36.7753606,hom,52,90,22,84,36,25,22,94,57,97,56,10,10,84
58,Algiers,10006,3.0601882,36.7753606,Tra,91,24,83,32,14,33,84,74,76,40,31,76,73,91
59,Algiers,10006,3.0601882,36.7753606,Una,29,47,56,37,75,69,99,52,56,70,60,61,59,44
60,Birkhadem,10006,3.0490708,36.7154602,Ayu,90,33,47,17,42,91,51,64,34,67,23,13,54,99
61,Birkhadem,10006,3.0490708,36.7154602,Chi,93,48,84,25,82,79,76,54,48,40,94,93,68,39
62,Birkhadem,10006,3.0490708,36.7154602,Den,34,85,48,20,17,26,71,35,76,43,10,75,43,58
63,Birkhadem,10006,3.0490708,36.7154602,Allo,90,44,16,96,25,59,13,72,61,77,28,86,21,82
64,Birkhadem,10006,3.0490708,36.7154602,Nat,27,40,81,50,22,80,19,34,40,16,75,95,67,47
65,Birkhadem,10006,3.0490708,36.7154602,Vet,12,34,12,76,52,23,31,64,72,94,65,56,79,60
66,Birkhadem,10006,3.0490708,36.7154602,Ene,70,18,70,40,66,78,77,22,91,46,69,19,53,62
67,Birkhadem,10006,3.0490708,36.7154602,hom,48,92,94,62,30,28,48,48,69,83,59,80,16,30
68,Birkhadem,10006,3.0490708,36.7154602,Tra,79,57,19,29,98,39,15,13,71,84,60,51,36,30
69,Birkhadem,10006,3.0490708,36.7154602,Una,51,60,26,10,60,52,90,77,32,94,29,43,65,61
70,Aïn Taya,10006,3.2926194,36.7912902,Ayu,23,86,62,76,41,64,28,94,26,30,98,12,51,13
71,Aïn Taya,10006,3.2926194,36.7912902,Chi,78,71,29,64,12,37,72,19,92,25,96,71,91,80
72,Aïn Taya,10006,3.2926194,36.7912902,Den,24,46,31,54,97,76,18,24,47,80,72,43,32,60
73,Aïn Taya,10006,3.2926194,36.7912902,Allo,64,49,50,34,10,99,82,65,63,37,55,28,29,97
74,Aïn Taya,10006,3.2926194,36.7912902,Nat,28,42,50,47,23,69,81,58,46,84,80,21,44,54
75,Aïn Taya,10006,3.2926194,36.7912902,Vet,11,35,67,14,92,56,14,38,91,48,49,63,84,56
76,Aïn Taya,10006,3.2926194,36.7912902,Ene,10,50,86,51,30,70,69,87,74,35,96,52,86,86
77,Aïn Taya,10006,3.2926194,36.7912902,hom,98,17,71,46,54,22,73,96,63,22,94,81,26,61
78,Aïn Taya,10006,3.2926194,36.7912902,Tra,66,34,33,42,44,35,23,20,26,75,14,87,62,85
79,Aïn Taya,10006,3.2926194,36.7912902,Una,77,13,66,37,78,19,39,55,72,98,16,49,67,73
80,El Achour,10006,2.9905236,36.7341624,Ayu,38,33,49,50,82,89,78,59,57,22,18,19,47,23
81,El Achour,10006,2.9905236,36.7341624,Chi,59,96,82,22,14,76,49,51,30,17,48,74,88,94
82,El Achour,10006,2.9905236,36.7341624,Den,91,66,37,56,36,30,62,57,76,85,98,91,19,54
83,El Achour,10006,2.9905236,36.7341624,Allo,93,37,82,61,46,70,86,64,69,20,18,93,84,80
84,El Achour,10006,2.9905236,36.7341624,Nat,83,83,93,47,78,62,38,77,13,25,48,86,22,42
85,El Achour,10006,2.9905236,36.7341624,Vet,97,92,68,82,76,91,34,16,81,58,57,45,14,64
86,El Achour,10006,2.9905236,36.7341624,Ene,82,74,22,46,53,77,60,23,50,78,99,31,72,30
87,El Achour,10006,2.9905236,36.7341624,hom,51,10,58,74,52,95,12,37,13,36,62,84,97,39
88,El Achour,10006,2.9905236,36.7341624,Tra,81,24,63,10,62,12,66,37,71,82,37,78,15,61
89,El Achour,10006,2.9905236,36.7341624,Una,32,95,44,20,71,20,70,14,22,31,16,35,53,90
90,Les Eucalyptus,10006,3.1472616,36.6567143,Ayu,36,70,94,80,19,45,48,44,27,33,88,10,21,50
91,Les Eucalyptus,10006,3.1472616,36.6567143,Chi,20,17,33,88,75,23,60,71,21,33,65,75,63,50
92,Les Eucalyptus,10006,3.1472616,36.6567143,Den,38,16,77,75,66,14,53,94,55,23,57,30,94,96
93,Les Eucalyptus,10006,3.1472616,36.6567143,Allo,88,31,87,39,95,92,60,20,35,97,66,33,41,83
94,Les Eucalyptus,10006,3.1472616,36.6567143,Nat,14,93,75,21,26,71,21,33,94,13,18,63,59,85
95,Les Eucalyptus,10006,3.1472616,36.6567143,Vet,28,65,21,80,71,48,25,98,17,94,23,53,67,54
96,Les Eucalyptus,10006,3.1472616,36.6567143,Ene,28,33,24,85,95,95,52,25,27,63,40,32,28,83
97,Les Eucalyptus,10006,3.1472616,36.6567143,hom,65,35,65,99,72,37,79,46,39,32,23,23,92,43
98,Les Eucalyptus,10006,3.1472616,36.6567143,Tra,55,86,76,99,89,99,13,40,22,50,93,29,82,92
99,Les Eucalyptus,10006,3.1472616,36.6567143,Una,60,94,20,86,54,42,46,19,44,75,16,61,47,23
100,Annaba,10007,7.7549272,36.8982165,Ayu,36,48,96,81,82,73,76,76,90,51,50,81,56,53
101,Annaba,10007,7.7549272,36.8982165,Chi,35,92,24,10,66,90,72,29,50,24,86,70,79,93
102,Annaba,10007,7.7549272,36.8982165,Den,14,64,28,16,29,52,80,76,85,90,53,26,52,97
103,Annaba,10007,7.7549272,36.8982165,Allo,19,45,68,10,26,21,29,45,65,99,63,89,90,25
104,Annaba,10007,7.7549272,36.8982165,Nat,79,93,63,88,73,29,57,72,34,89,54,71,37,77
105,Annaba,10007,7.7549272,36.8982165,Vet,64,91,66,95,61,94,48,83,75,34,55,76,23,18
106,Annaba,10007,7.7549272,36.8982165,Ene,57,16,63,97,47,91,97,47,78,95,85,90,12,49
107,Annaba,10007,7.7549272,36.8982165,hom,11,63,42,54,42,65,97,63,99,33,62,91,15,57
108,Annaba,10007,7.7549272,36.8982165,Tra,58,35,55,25,89,21,85,19,67,19,19,98,51,15
109,Annaba,10007,7.7549272,36.8982165,Una,59,67,63,80,91,92,82,21,83,57,48,77,53,29
110,Batna,10008,5.731545299000572,35.3384291,Ayu,31,38,31,60,99,44,90,24,33,20,65,47,89,61
111,Batna,10008,5.731545299000572,35.3384291,Chi,73,80,30,79,49,11,42,26,38,72,56,52,31,80
112,Batna,10008,5.731545299000572,35.3384291,Den,16,11,17,44,71,21,43,19,51,35,95,53,14,80
113,Batna,10008,5.731545299000572,35.3384291,Allo,95,59,81,88,55,64,21,56,41,63,26,95,71,69
114,Batna,10008,5.731545299000572,35.3384291,Nat,42,72,73,51,12,33,45,35,76,32,94,32,61,57
115,Batna,10008,5.731545299000572,35.3384291,Vet,35,83,20,48,73,78,64,92,88,28,70,75,57,59
116,Batna,10008,5.731545299000572,35.3384291,Ene,13,85,64,33,32,35,66,16,91,44,27,31,10,20
117,Batna,10008,5.731545299000572,35.3384291,hom,83,48,26,61,32,70,80,77,75,18,24,79,68,78
118,Batna,10008,5.731545299000572,35.3384291,Tra,58,39,92,42,53,77,75,85,57,86,55,62,36,95
119,Batna,10008,5.731545299000572,35.3384291,Una,83,74,22,96,54,55,34,49,37,19,75,72,43,13
120,Bejaïa,10009,5.0643687,36.7511783,Ayu,73,57,43,96,82,62,99,65,32,39,86,45,41,51
121,Bejaïa,10009,5.0643687,36.7511783,Chi,96,80,88,93,87,42,91,37,40,84,45,55,69,43
122,Bejaïa,10009,5.0643687,36.7511783,Den,68,89,17,86,46,26,91,56,48,51,77,94,60,88
123,Bejaïa,10009,5.0643687,36.7511783,Allo,46,82,83,45,95,37,28,43,38,96,99,66,22,96
124,Bejaïa,10009,5.0643687,36.7511783,Nat,75,81,62,41,33,39,62,50,91,87,66,31,82,68
125,Bejaïa,10009,5.0643687,36.7511783,Vet,46,65,98,29,46,21,73,82,79,48,35,21,91,11
126,Bejaïa,10009,5.0643687,36.7511783,Ene,25,72,37,70,61,84,47,57,99,66,85,23,93,88
127,Bejaïa,10009,5.0643687,36.7511783,hom,60,91,80,19,59,81,77,40,33,45,99,47,82,61
128,Bejaïa,10009,5.0643687,36.7511783,Tra,21,24,14,52,40,33,58,73,80,25,43,37,96,79
129,Bejaïa,10009,5.0643687,36.7511783,Una,29,35,65,51,75,47,50,36,36,63,17,60,19,43
130,Blida,10010,2.8287985,36.4701645,Ayu,97,35,64,41,38,40,14,83,61,50,84,84,44,13
131,Blida,10010,2.8287985,36.4701645,Chi,62,35,92,81,37,64,11,57,56,28,25,40,43,81
132,Blida,10010,2.8287985,36.4701645,Den,41,22,68,86,84,59,37,78,49,37,85,98,33,12
133,Blida,10010,2.8287985,36.4701645,Allo,89,17,89,61,77,18,69,30,67,11,56,94,17,37
134,Blida,10010,2.8287985,36.4701645,Nat,14,15,19,70,36,20,53,31,30,30,32,14,89,24
135,Blida,10010,2.8287985,36.4701645,Vet,78,78,26,74,21,13,66,45,34,35,38,42,82,90
136,Blida,10010,2.8287985,36.4701645,Ene,38,18,71,69,47,26,91,75,47,15,65,22,40,58
137,Blida,10010,2.8287985,36.4701645,hom,99,16,85,12,92,73,42,44,42,97,93,81,17,88
138,Blida,10010,2.8287985,36.4701645,Tra,62,68,34,26,52,60,16,27,63,22,72,75,50,64
139,Blida,10010,2.8287985,36.4701645,Una,92,10,99,30,76,69,48,31,20,83,28,93,29,32
140,Constantine,10011,6.60826,36.364519,Ayu,12,56,64,78,16,45,48,84,78,11,86,84,20,87
141,Constantine,10011,6.60826,36.364519,Chi,99,25,57,91,57,89,93,53,20,34,67,44,96,81
142,Constantine,10011,6.60826,36.364519,Den,33,49,80,93,72,16,66,27,31,65,87,29,74,39
143,Constantine,10011,6.60826,36.364519,Allo,61,50,78,23,36,90,70,37,47,65,28,55,72,52
144,Constantine,10011,6.60826,36.364519,Nat,58,35,14,76,60,59,53,74,72,40,90,85,99,17
145,Constantine,10011,6.60826,36.364519,Vet,34,67,60,45,51,33,97,43,54,66,11,67,78,47
146,Constantine,10011,6.60826,36.364519,Ene,23,84,19,13,18,67,65,81,20,53,30,26,53,59
147,Constantine,10011,6.60826,36.364519,hom,77,31,50,73,35,45,54,88,84,39,48,92,59,54
148,Constantine,10011,6.60826,36.364519,Tra,74,59,55,21,14,21,13,46,80,64,64,54,66,85
149,Constantine,10011,6.60826,36.364519,Una,83,89,46,25,74,94,30,10,22,33,41,10,78,73
150,Djelfa,10012,3.217253079090331,34.342841,Ayu,59,49,98,42,68,19,19,27,58,18,70,78,44,85
151,Djelfa,10012,3.217253079090331,34.342841,Chi,42,50,31,59,21,31,70,84,87,23,18,20,65,64
152,Djelfa,10012,3.217253079090331,34.342841,Den,87,79,29,77,52,19,98,16,62,98,38,32,92,72
153,Djelfa,10012,3.217253079090331,34.342841,Allo,20,61,54,13,80,98,65,77,76,12,76,35,67,94
154,Djelfa,10012,3.217253079090331,34.342841,Nat,61,22,65,29,28,57,83,37,45,20,71,14,70,73
155,Djelfa,10012,3.217253079090331,34.342841,Vet,69,85,87,48,77,29,84,56,38,28,49,25,18,38
156,Djelfa,10012,3.217253079090331,34.342841,Ene,90,60,77,58,76,77,59,25,41,19,21,99,59,43
157,Djelfa,10012,3.217253079090331,34.342841,hom,45,58,33,84,58,99,38,22,67,85,63,63,91,20
158,Djelfa,10012,3.217253079090331,34.342841,Tra,34,85,57,43,80,39,83,37,95,31,75,40,92,86
159,Djelfa,10012,3.217253079090331,34.342841,Una,35,33,28,51,63,78,26,74,44,80,78,91,84,35
160,Oran,10013,-0.6492976,35.7032751,Ayu,48,36,80,43,86,92,18,57,75,72,60,91,67,26
161,Oran,10013,-0.6492976,35.7032751,Chi,72,14,18,86,98,15,12,75,27,61,86,39,84,26
162,Oran,10013,-0.6492976,35.7032751,Den,92,89,45,46,20,48,80,88,62,41,31,28,21,47
163,Oran,10013,-0.6492976,35.7032751,Allo,60,52,26,75,94,25,37,21,63,56,26,68,72,71
164,Oran,10013,-0.6492976,35.7032751,Nat,40,53,43,21,10,27,46,94,85,96,25,99,85,35
165,Oran,10013,-0.6492976,35.7032751,Vet,71,22,29,98,89,48,96,67,64,63,66,35,90,83
166,Oran,10013,-0.6492976,35.7032751,Ene,50,98,52,32,70,79,58,44,28,66,59,46,19,72
167,Oran,10013,-0.6492976,35.7032751,hom,32,46,27,13,71,71,63,45,69,81,57,68,21,70
168,Oran,10013,-0.6492976,35.7032751,Tra,43,79,91,31,33,17,25,93,62,75,55,15,26,34
169,Oran,10013,-0.6492976,35.7032751,Una,40,91,38,53,61,30,52,80,11,42,62,84,69,62
170,Setif,10014,5.403493,36.1892751,Ayu,57,14,33,15,98,91,77,58,91,91,19,82,94,95
171,Setif,10014,5.403493,36.1892751,Chi,14,69,85,27,37,40,79,12,58,94,96,30,65,35
172,Setif,10014,5.403493,36.1892751,Den,47,89,70,15,40,66,82,75,15,77,53,46,15,31
173,Setif,10014,5.403493,36.1892751,Allo,70,55,50,39,72,58,49,27,28,74,60,85,30,28
174,Setif,10014,5.403493,36.1892751,Nat,25,49,86,77,47,31,43,80,37,55,20,33,50,42
175,Setif,10014,5.403493,36.1892751,Vet,82,74,73,88,61,12,21,98,33,94,44,19,20,79
176,Setif,10014,5.403493,36.1892751,Ene,33,65,29,53,44,49,88,63,35,55,67,94,55,21
177,Setif,10014,5.403493,36.1892751,hom,24,54,65,89,49,98,47,56,46,79,74,77,53,76
178,Setif,10014,5.403493,36.1892751,Tra,66,44,75,11,70,58,49,43,84,43,33,67,75,85
179,Setif,10014,5.403493,36.1892751,Una,80,54,37,36,66,60,64,48,79,32,11,80,69,59
180,Mehdia daira de meghila,10015,,,Ayu,81,80,41,13,80,58,26,61,88,79,21,14,79,86
181,Mehdia daira de meghila,10015,,,Chi,21,11,90,39,47,26,91,56,29,46,53,92,48,79
182,Mehdia daira de meghila,10015,,,Den,98,14,65,65,71,62,18,42,37,47,35,83,31,61
183,Mehdia daira de meghila,10015,,,Allo,82,75,54,15,75,13,26,98,75,95,46,54,13,42
184,Mehdia daira de meghila,10015,,,Nat,29,55,15,90,85,53,50,31,93,48,31,69,42,60
185,Mehdia daira de meghila,10015,,,Vet,12,22,93,34,44,30,59,56,90,17,15,47,75,36
186,Mehdia daira de meghila,10015,,,Ene,25,12,37,82,53,60,83,24,77,19,78,65,18,53
187,Mehdia daira de meghila,10015,,,hom,60,13,38,45,82,28,33,93,20,24,25,88,78,30
188,Mehdia daira de meghila,10015,,,Tra,66,66,40,70,23,86,69,44,28,77,48,83,30,59
189,Mehdia daira de meghila,10015,,,Una,23,71,91,20,10,41,22,85,18,28,35,22,32,58
190,Ma oputasi county,10016,,,Ayu,32,72,84,88,51,69,29,78,47,86,54,57,27,32
191,Ma oputasi county,10016,,,Chi,29,98,86,75,52,44,63,53,77,23,35,82,29,92
192,Ma oputasi county,10016,,,Den,48,55,65,26,40,73,37,49,31,44,88,88,18,29
193,Ma oputasi county,10016,,,Allo,37,22,25,23,97,41,52,90,69,29,59,69,23,48
194,Ma oputasi county,10016,,,Nat,54,40,71,93,29,56,95,52,37,32,52,57,76,73
195,Ma oputasi county,10016,,,Vet,64,12,90,96,29,80,23,41,35,48,64,77,32,14
196,Ma oputasi county,10016,,,Ene,85,90,84,71,38,57,57,51,64,98,13,66,88,10
197,Ma oputasi county,10016,,,hom,63,29,12,86,32,28,27,69,36,27,23,82,30,65
198,Ma oputasi county,10016,,,Tra,14,82,22,22,11,81,65,80,67,87,93,97,27,75
199,Ma oputasi county,10016,,,Una,92,33,93,14,41,38,19,70,86,61,10,94,24,51
200,Lobito,10017,13.5464318,-12.3506867,Ayu,61,14,74,60,32,74,71,32,82,79,24,30,75,65
201,Lobito,10017,13.5464318,-12.3506867,Chi,25,18,42,58,56,10,34,35,63,36,24,96,54,35
202,Lobito,10017,13.5464318,-12.3506867,Den,72,18,42,15,33,79,49,71,42,62,25,40,95,32
203,Lobito,10017,13.5464318,-12.3506867,Allo,60,94,17,98,58,73,20,18,73,58,56,71,62,60
204,Lobito,10017,13.5464318,-12.3506867,Nat,16,94,61,42,33,28,83,96,11,53,10,42,49,66
205,Lobito,10017,13.5464318,-12.3506867,Vet,18,18,83,72,58,96,27,53,41,18,75,18,70,63
206,Lobito,10017,13.5464318,-12.3506867,Ene,46,98,26,51,43,16,63,77,29,36,26,83,22,34
207,Lobito,10017,13.5464318,-12.3506867,hom,46,24,86,81,78,88,40,74,13,90,65,14,17,85
208,Lobito,10017,13.5464318,-12.3506867,Tra,86,21,54,84,81,94,67,53,29,67,47,61,98,86
209,Lobito,10017,13.5464318,-12.3506867,Una,47,86,22,91,22,94,93,10,38,62,43,15,85,78
210,Benguela,10017,14.0356608,-12.9104657,Ayu,59,69,24,22,98,12,67,95,29,36,24,31,99,74
211,Benguela,10017,14.0356608,-12.9104657,Chi,69,20,83,48,54,40,54,10,93,37,11,71,79,31
212,Benguela,10017,14.0356608,-12.9104657,Den,28,16,44,11,44,69,35,89,47,23,63,12,23,73
213,Benguela,10017,14.0356608,-12.9104657,Allo,38,79,72,52,63,67,11,53,12,81,25,58,95,38
214,Benguela,10017,14.0356608,-12.9104657,Nat,78,99,66,31,98,96,46,49,75,74,70,72,81,95
215,Benguela,10017,14.0356608,-12.9104657,Vet,40,79,57,63,54,22,73,33,70,69,46,87,31,74
216,Benguela,10017,14.0356608,-12.9104657,Ene,28,83,15,40,80,13,57,52,81,34,92,58,57,14
217,Benguela,10017,14.0356608,-12.9104657,hom,22,86,94,61,85,29,12,29,51,44,45,67,36,52
218,Benguela,10017,14.0356608,-12.9104657,Tra,39,59,35,96,47,87,14,82,67,15,75,61,43,59
219,Benguela,10017,14.0356608,-12.9104657,Una,36,95,71,71,60,84,48,85,69,49,62,43,61,99
220,Huambo,10018,15.7411039,-12.6076318,Ayu,59,87,56,80,87,91,41,87,86,98,50,29,78,13
221,Huambo,10018,15.7411039,-12.6076318,Chi,78,29,97,69,99,51,46,17,51,31,51,24,56,78
222,Huambo,10018,15.7411039,-12.6076318,Den,85,55,81,89,12,75,82,82,41,85,56,44,14,98
223,Huambo,10018,15.7411039,-12.6076318,Allo,42,51,25,10,49,13,51,49,45,53,70,15,98,49
224,Huambo,10018,15.7411039,-12.6076318,Nat,68,56,88,61,87,96,13,89,90,72,59,83,18,98
225,Huambo,10018,15.7411039,-12.6076318,Vet,38,98,94,23,73,36,13,81,54,11,16,20,95,71
226,Huambo,10018,15.7411039,-12.6076318,Ene,95,12,25,29,99,22,67,73,33,18,79,13,84,51
227,Huambo,10018,15.7411039,-12.6076318,hom,64,72,74,62,85,11,69,91,38,67,73,69,72,20
228,Huambo,10018,15.7411039,-12.6076318,Tra,30,46,64,21,24,86,99,83,22,27,60,58,29,85
229,Huambo,10018,15.7411039,-12.6076318,Una,49,97,42,90,49,77,71,38,54,19,27,23,88,41
230,Lubango,10019,13.4897509,-14.9195617,Ayu,26,69,68,47,13,33,20,43,50,20,90,33,58,20
231,Lubango,10019,13.4897509,-14.9195617,Chi,28,33,44,73,31,31,11,94,22,10,19,57,92,98
232,Lubango,10019,13.4897509,-14.9195617,Den,74,74,88,77,14,29,49,84,12,69,73,81,82,89
233,Lubango,10019,13.4897509,-14.9195617,Allo,51,40,86,12,23,91,97,29,57,79,30,29,75,87
234,Lubango,10019,13.4897509,-14.9195617,Nat,66,54,84,13,21,46,81,48,18,59,95,71,35,19
235,Lubango,10019,13.4897509,-14.9195617,Vet,60,73,21,26,23,72,36,91,94,90,83,46,45,25
236,Lubango,10019,13.4897509,-14.9195617,Ene,10,34,63,28,32,89,97,96,80,12,47,12,68,72
237,Lubango,10019,13.4897509,-14.9195617,hom,96,52,86,68,56,93,88,61,27,77,72,40,12,22
238,Lubango,10019,13.4897509,-14.9195617,Tra,96,22,81,33,25,45,99,50,84,54,21,80,68,36
239,Lubango,10019,13.4897509,-14.9195617,Una,94,69,31,85,10,96,83,41,19,22,70,45,19,41
240,Luanda,10020,13.2439512,-8.8272699,Ayu,59,13,45,89,21,71,23,52,12,72,97,64,81,20
241,Luanda,10020,13.2439512,-8.8272699,Chi,59,29,56,17,62,10,44,39,53,76,49,61,63,95
242,Luanda,10020,13.2439512,-8.8272699,Den,42,87,98,45,62,28,79,78,91,80,36,17,27,59
243,Luanda,10020,13.2439512,-8.8272699,Allo,90,29,68,36,96,14,41,35,64,83,98,90,28,75
244,Luanda,10020,13.2439512,-8.8272699,Nat,19,45,38,31,44,34,61,13,85,65,55,72,65,79
245,Luanda,10020,13.2439512,-8.8272699,Vet,24,38,25,64,47,89,48,33,93,16,73,46,93,53
246,Luanda,10020,13.2439512,-8.8272699,Ene,28,81,41,27,34,18,63,87,30,86,88,87,64,92
247,Luanda,10020,13.2439512,-8.8272699,hom,40,55,11,45,93,67,62,76,34,51,79,73,60,62
248,Luanda,10020,13.2439512,-8.8272699,Tra,95,63,91,90,44,36,50,89,42,73,37,66,50,11
249,Luanda,10020,13.2439512,-8.8272699,Una,51,69,85,56,32,62,31,94,96,58,35,98,43,15
250,Belas,10020,13.174545441548965,-9.1033375,Ayu,69,71,38,98,33,83,24,69,34,15,34,44,37,91
251,Belas,10020,13.174545441548965,-9.1033375,Chi,61,13,63,38,17,57,69,90,47,66,96,69,83,25
252,Belas,10020,13.174545441548965,-9.1033375,Den,43,92,58,58,83,47,36,77,48,73,61,95,42,23
253,Belas,10020,13.174545441548965,-9.1033375,Allo,56,83,61,30,31,29,30,98,49,65,45,78,60,85
254,Belas,10020,13.174545441548965,-9.1033375,Nat,20,70,44,68,16,72,72,39,15,56,23,86,55,37
