,State,id_country,log_S,lat_S,category,1_period,2_period,3_period,4_period,5_period,6_period,7_period,8_period,9_period,10_period,primary,secondary,tertiary,quaternary
93,Blida,3,2.8287985,36.4701645,Allo,22,83,79,65,40,43,32,80,59,45,72,86,54,80
94,Blida,3,2.8287985,36.4701645,Nat,18,25,84,47,38,42,10,11,90,87,84,46,52,85
95,Blida,3,2.8287985,36.4701645,Vet,87,99,91,75,10,39,14,38,63,45,76,83,53,10
96,Blida,3,2.8287985,36.4701645,Ene,63,18,57,59,31,53,27,48,31,11,84,14,50,68
97,Blida,3,2.8287985,36.4701645,hom,83,20,81,28,44,73,39,43,63,46,87,58,11,17
98,Blida,3,2.8287985,36.4701645,Tra,99,31,16,40,37,73,72,69,95,10,59,29,77,70
99,Blida,3,2.8287985,36.4701645,Una,68,35,55,59,16,60,56,44,55,35,61,80,81,26
100,Constantine,3,6.60826,36.364519,Ayu,85,42,51,67,25,81,59,43,96,91,49,67,51,71
101,Constantine,3,6.60826,36.364519,Chi,15,51,65,75,71,12,98,24,51,90,87,30,19,25
102,Constantine,3,6.60826,36.364519,Den,40,78,44,65,31,52,87,18,31,97,36,23,87,14
103,Constantine,3,6.60826,36.364519,Allo,59,90,67,16,96,84,97,18,60,22,36,40,72,64
104,Constantine,3,6.60826,36.364519,Nat,60,20,41,65,51,19,89,81,72,94,34,69,91,15
105,Constantine,3,6.60826,36.364519,Vet,48,71,79,97,98,55,56,39,33,61,50,21,38,46
106,Constantine,3,6.60826,36.364519,Ene,53,46,63,15,97,52,89,48,44,82,76,38,97,16
107,Constantine,3,6.60826,36.364519,hom,27,84,41,97,48,79,17,83,20,48,91,25,72,66
108,Constantine,3,6.60826,36.364519,Tra,96,21,22,16,12,30,38,57,98,50,13,44,13,90
109,Constantine,3,6.60826,36.364519,Una,74,22,12,81,65,86,88,48,23,58,90,18,38,92
110,Djelfa,3,3.217253079090331,34.342841,Ayu,12,70,97,65,71,77,28,12,31,61,89,28,89,16
111,Djelfa,3,3.217253079090331,34.342841,Chi,89,77,58,20,86,71,65,54,23,18,90,77,82,57
112,Djelfa,3,3.217253079090331,34.342841,Den,93,17,56,48,74,11,19,52,74,23,14,42,55,82
113,Djelfa,3,3.217253079090331,34.342841,Allo,53,20,87,55,50,59,41,59,19,14,16,16,33,62
114,Djelfa,3,3.217253079090331,34.342841,Nat,30,13,15,33,76,43,49,65,73,97,19,24,41,46
115,Djelfa,3,3.217253079090331,34.342841,Vet,13,24,64,68,53,13,45,63,60,76,62,45,42,65
116,Djelfa,3,3.217253079090331,34.342841,Ene,15,33,65,70,81,12,79,39,70,45,92,27,34,97
117,Djelfa,3,3.217253079090331,34.342841,hom,49,48,28,94,26,36,86,11,59,43,16,35,19,89
118,Djelfa,3,3.217253079090331,34.342841,Tra,53,94,21,34,51,50,46,14,64,61,87,88,79,81
119,Djelfa,3,3.217253079090331,34.342841,Una,75,75,22,70,80,59,93,24,52,30,87,89,50,85
120,Oran,3,-0.6492976,35.7032751,Ayu,80,98,95,16,18,65,99,46,83,64,47,41,29,28
121,Oran,3,-0.6492976,35.7032751,Chi,20,82,54,70,34,53,30,92,91,67,51,45,10,94
122,Oran,3,-0.6492976,35.7032751,Den,31,32,23,34,50,63,71,59,36,42,77,46,47,81
123,Oran,3,-0.6492976,35.7032751,Allo,42,41,89,66,98,86,63,92,47,72,35,35,86,70
124,Oran,3,-0.6492976,35.7032751,Nat,72,82,49,92,58,93,38,32,45,14,48,13,89,99
125,Oran,3,-0.6492976,35.7032751,Vet,47,19,20,35,82,94,37,58,22,82,44,19,38,71
126,Oran,3,-0.6492976,35.7032751,Ene,49,72,50,51,11,54,70,70,44,83,64,92,81,77
127,Oran,3,-0.6492976,35.7032751,hom,50,91,79,72,70,14,78,54,13,21,82,29,33,20
128,Oran,3,-0.6492976,35.7032751,Tra,37,73,52,75,61,69,45,83,25,28,38,30,18,61
129,Oran,3,-0.6492976,35.7032751,Una,86,38,97,30,45,74,71,44,77,67,57,62,40,17
130,Setif,3,5.403493,36.1892751,Ayu,68,68,15,82,59,13,85,46,11,18,87,40,27,64
131,Setif,3,5.403493,36.1892751,Chi,32,90,88,80,26,40,29,45,33,85,84,92,90,67
132,Setif,3,5.403493,36.1892751,Den,51,60,19,17,77,17,89,63,59,76,82,58,83,32
133,Setif,3,5.403493,36.1892751,Allo,83,59,77,78,65,68,41,71,60,32,65,64,70,69
134,Setif,3,5.403493,36.1892751,Nat,55,64,99,83,52,30,55,90,44,21,80,37,18,39
135,Setif,3,5.403493,36.1892751,Vet,17,59,65,74,72,52,21,48,13,48,37,36,80,51
136,Setif,3,5.403493,36.1892751,Ene,22,15,37,85,28,70,98,15,83,34,86,88,67,94
137,Setif,3,5.403493,36.1892751,hom,16,11,65,63,53,38,54,15,54,62,69,22,20,26
138,Setif,3,5.403493,36.1892751,Tra,58,74,36,20,48,29,89,21,97,35,81,38,58,93
139,Setif,3,5.403493,36.1892751,Una,30,29,34,56,53,57,15,13,34,28,69,90,50,27
140,Tiaret,3,,,Ayu,85,47,40,91,70,43,21,22,44,16,73,55,68,21
141,Tiaret,3,,,Chi,43,86,84,25,41,77,76,57,10,67,30,77,43,81
142,Tiaret,3,,,Den,60,88,54,61,27,82,47,75,37,67,78,86,70,14
143,Tiaret,3,,,Allo,96,49,16,11,60,49,81,49,37,64,58,70,96,60
144,Tiaret,3,,,Nat,23,98,44,72,84,95,64,54,54,95,21,12,27,82
145,Tiaret,3,,,Vet,33,81,26,91,87,26,80,56,81,68,52,90,27,96
146,Tiaret,3,,,Ene,60,54,67,99,66,87,72,50,97,27,38,83,93,25
147,Tiaret,3,,,hom,93,94,48,99,87,60,56,98,21,14,45,12,46,54
148,Tiaret,3,,,Tra,38,79,98,10,94,68,21,81,67,20,60,97,80,29
149,Tiaret,3,,,Una,51,60,20,60,85,77,59,34,42,59,46,36,16,19
150,Eastern District,4,,,Ayu,40,48,87,39,98,90,86,66,88,91,26,95,23,35
151,Eastern District,4,,,Chi,86,23,89,34,44,32,37,83,75,44,25,58,71,58
152,Eastern District,4,,,Den,71,23,23,82,58,34,74,79,59,13,87,91,35,63
153,Eastern District,4,,,Allo,92,29,87,55,59,67,17,89,44,46,78,46,73,98
154,Eastern District,4,,,Nat,94,45,25,44,80,21,58,13,23,58,85,22,74,18
155,Eastern District,4,,,Vet,22,84,74,89,13,75,93,68,46,93,25,52,40,27
156,Eastern District,4,,,Ene,97,61,61,37,27,19,22,33,92,46,19,94,36,14
157,Eastern District,4,,,hom,71,83,37,68,21,17,44,63,13,83,21,78,63,74
158,Eastern District,4,,,Tra,93,20,36,42,46,23,47,20,68,24,36,65,65,11
159,Eastern District,4,,,Una,47,59,92,80,46,77,40,72,77,80,61,16,53,65
160,Benguela Province,5,13.7910463,-12.6305762,Ayu,84,89,69,63,76,25,90,68,35,94,20,38,30,11
161,Benguela Province,5,13.7910463,-12.6305762,Chi,34,19,23,45,50,67,48,21,72,95,88,72,10,40
162,Benguela Province,5,13.7910463,-12.6305762,Den,42,71,21,47,69,43,70,61,44,59,82,76,14,44
163,Benguela Province,5,13.7910463,-12.6305762,Allo,71,15,72,35,38,69,84,22,80,16,29,72,65,46
164,Benguela Province,5,13.7910463,-12.6305762,Nat,81,34,25,36,44,16,37,40,84,56,89,90,61,45
165,Benguela Province,5,13.7910463,-12.6305762,Vet,28,58,60,39,88,29,42,32,92,53,85,15,64,51
166,Benguela Province,5,13.7910463,-12.6305762,Ene,75,76,34,21,22,26,96,75,80,42,63,35,96,15
167,Benguela Province,5,13.7910463,-12.6305762,hom,89,56,69,50,16,21,20,97,53,58,22,18,66,37
168,Benguela Province,5,13.7910463,-12.6305762,Tra,18,17,12,59,28,93,57,68,92,18,71,50,71,14
169,Benguela Province,5,13.7910463,-12.6305762,Una,11,26,81,71,21,82,29,76,51,44,50,37,35,43
170,Huambo Province,5,15.7411039,-12.6076318,Ayu,77,77,44,99,99,52,22,59,34,18,83,89,45,27
171,Huambo Province,5,15.7411039,-12.6076318,Chi,43,76,32,59,70,47,78,91,51,24,85,60,50,54
172,Huambo Province,5,15.7411039,-12.6076318,Den,59,24,59,12,91,32,54,13,41,47,74,89,71,87
173,Huambo Province,5,15.7411039,-12.6076318,Allo,13,24,41,47,69,98,68,53,59,55,85,90,49,21
174,Huambo Province,5,15.7411039,-12.6076318,Nat,46,91,55,29,59,13,14,71,67,48,42,53,26,52
175,Huambo Province,5,15.7411039,-12.6076318,Vet,44,80,46,58,58,80,94,66,69,55,65,89,74,35
176,Huambo Province,5,15.7411039,-12.6076318,Ene,36,70,35,74,27,19,12,40,32,11,78,54,47,46
177,Huambo Province,5,15.7411039,-12.6076318,hom,17,97,83,44,23,39,30,63,99,82,89,76,75,41
178,Huambo Province,5,15.7411039,-12.6076318,Tra,63,10,35,82,90,15,16,80,84,30,11,38,71,31
179,Huambo Province,5,15.7411039,-12.6076318,Una,89,57,77,40,30,90,46,16,10,97,15,49,35,73
180,Huila Province,5,13.4897509,-14.9195617,Ayu,29,86,29,74,40,91,77,66,39,23,66,75,28,79
181,Huila Province,5,13.4897509,-14.9195617,Chi,82,54,88,91,45,44,93,72,20,75,63,74,97,19
182,Huila Province,5,13.4897509,-14.9195617,Den,13,68,88,28,68,11,65,53,13,59,84,26,36,36
183,Huila Province,5,13.4897509,-14.9195617,Allo,56,25,59,57,31,87,38,68,64,75,59,81,89,33
184,Huila Province,5,13.4897509,-14.9195617,Nat,35,40,44,22,18,42,41,93,79,15,68,49,60,71
185,Huila Province,5,13.4897509,-14.9195617,Vet,12,32,62,79,42,44,33,29,15,95,18,28,73,59
186,Huila Province,5,13.4897509,-14.9195617,Ene,51,65,73,18,86,55,52,36,87,26,60,41,99,74
187,Huila Province,5,13.4897509,-14.9195617,hom,49,30,45,18,79,27,65,32,80,39,91,73,18,57
188,Huila Province,5,13.4897509,-14.9195617,Tra,19,14,72,96,39,83,27,73,35,73,39,59,41,96
189,Huila Province,5,13.4897509,-14.9195617,Una,22,59,55,75,30,77,76,48,35,33,54,85,46,26
190,Luanda Province,5,13.484719147182988,-10.2803577,Ayu,28,83,62,53,26,23,25,74,15,54,28,51,28,43
191,Luanda Province,5,13.484719147182988,-10.2803577,Chi,88,67,90,93,46,65,40,16,18,68,59,51,12,61
192,Luanda Province,5,13.484719147182988,-10.2803577,Den,10,41,34,58,37,64,85,87,25,96,89,12,74,34
193,Luanda Province,5,13.484719147182988,-10.2803577,Allo,29,89,37,94,48,37,95,56,96,91,44,26,52,21
194,Luanda Province,5,13.484719147182988,-10.2803577,Nat,32,28,71,26,48,80,94,20,60,28,80,39,57,49
195,Luanda Province,5,13.484719147182988,-10.2803577,Vet,56,49,94,99,31,26,14,34,91,79,20,38,36,16
196,Luanda Province,5,13.484719147182988,-10.2803577,Ene,69,17,36,97,95,91,26,23,38,15,89,69,88,41
197,Luanda Province,5,13.484719147182988,-10.2803577,hom,91,46,50,41,86,97,85,89,21,87,13,53,97,32
198,Luanda Province,5,13.484719147182988,-10.2803577,Tra,98,72,97,85,81,18,62,75,46,24,53,79,96,64
199,Luanda Province,5,13.484719147182988,-10.2803577,Una,94,64,57,74,18,70,86,47,21,10,25,75,22,24
200,Malanje Province,5,16.9364293,-9.535332,Ayu,16,16,31,37,59,12,95,69,87,75,62,57,66,40
201,Malanje Province,5,16.9364293,-9.535332,Chi,90,82,10,40,91,87,81,13,28,92,38,77,33,16
202,Malanje Province,5,16.9364293,-9.535332,Den,44,46,75,23,39,46,70,99,80,32,53,99,91,16
203,Malanje Province,5,16.9364293,-9.535332,Allo,86,92,76,33,83,29,38,69,56,21,94,52,92,31
204,Malanje Province,5,16.9364293,-9.535332,Nat,87,38,12,93,66,85,57,69,35,73,84,74,37,99
205,Malanje Province,5,16.9364293,-9.535332,Vet,55,11,21,49,42,40,32,18,53,88,29,27,37,68
206,Malanje Province,5,16.9364293,-9.535332,Ene,24,17,93,59,89,13,92,50,46,67,56,60,27,58
207,Malanje Province,5,16.9364293,-9.535332,hom,47,26,28,20,99,16,19,41,75,86,69,67,97,21
208,Malanje Province,5,16.9364293,-9.535332,Tra,82,95,97,52,11,95,77,35,66,11,51,11,57,81
209,Malanje Province,5,16.9364293,-9.535332,Una,94,31,75,17,55,63,72,50,47,51,18,39,22,59
210,Uige Province,5,15.4799164,-6.9516802,Ayu,84,40,44,23,65,25,77,19,76,61,76,32,60,93
211,Uige Province,5,15.4799164,-6.9516802,Chi,88,88,23,78,34,89,54,13,93,25,90,19,82,47
212,Uige Province,5,15.4799164,-6.9516802,Den,69,43,80,41,38,97,65,25,98,95,10,23,67,19
213,Uige Province,5,15.4799164,-6.9516802,Allo,72,64,94,50,28,30,88,37,62,31,25,22,74,60
214,Uige Province,5,15.4799164,-6.9516802,Nat,11,28,81,28,97,49,93,72,56,99,40,59,66,71
215,Uige Province,5,15.4799164,-6.9516802,Vet,50,66,95,88,63,83,20,74,25,96,68,29,76,42
216,Uige Province,5,15.4799164,-6.9516802,Ene,70,93,86,42,52,79,76,47,15,30,81,28,63,32
217,Uige Province,5,15.4799164,-6.9516802,hom,97,30,67,88,49,79,54,97,50,14,88,29,47,51
218,Uige Province,5,15.4799164,-6.9516802,Tra,95,32,17,98,68,46,59,56,63,88,32,38,20,13
219,Uige Province,5,15.4799164,-6.9516802,Una,50,35,51,27,79,24,52,69,18,43,18,33,39,50
220,Saint John Parish,6,-61.8448509,17.1184569,Ayu,48,63,72,98,86,85,67,99,36,75,59,37,81,57
221,Saint John Parish,6,-61.8448509,17.1184569,Chi,88,97,15,48,46,11,19,83,23,21,46,63,53,59
222,Saint John Parish,6,-61.8448509,17.1184569,Den,51,84,90,83,93,30,45,40,27,91,46,92,66,82
223,Saint John Parish,6,-61.8448509,17.1184569,Allo,44,70,87,95,20,84,66,14,13,21,56,48,14,55
224,Saint John Parish,6,-61.8448509,17.1184569,Nat,24,78,70,57,58,46,18,76,33,91,33,55,55,84
225,Saint John Parish,6,-61.8448509,17.1184569,Vet,34,17,86,45,73,61,21,43,97,13,78,47,47,50
226,Saint John Parish,6,-61.8448509,17.1184569,Ene,48,72,29,90,50,68,94,31,40,95,40,31,91,14
227,Saint John Parish,6,-61.8448509,17.1184569,hom,54,21,91,45,52,10,50,43,21,85,10,90,46,80
228,Saint John Parish,6,-61.8448509,17.1184569,Tra,90,52,59,42,89,44,29,93,39,43,61,64,23,21
229,Saint John Parish,6,-61.8448509,17.1184569,Una,18,53,22,13,66,93,94,11,95,77,75,74,90,23
230,Saint Paul Parish,6,-41.096092456982745,44.568246125,Ayu,60,19,25,31,60,60,57,54,97,23,40,22,36,84
231,Saint Paul Parish,6,-41.096092456982745,44.568246125,Chi,57,21,19,68,97,68,53,99,56,56,25,94,69,82
232,Saint Paul Parish,6,-41.096092456982745,44.568246125,Den,42,17,92,69,25,46,18,75,74,49,28,36,47,96
233,Saint Paul Parish,6,-41.096092456982745,44.568246125,Allo,34,77,17,99,88,29,67,11,19,64,39,85,80,79
234,Saint Paul Parish,6,-41.096092456982745,44.568246125,Nat,78,60,80,38,47,34,28,12,31,76,79,98,75,32
235,Saint Paul Parish,6,-41.096092456982745,44.568246125,Vet,95,62,81,30,92,68,69,50,31,48,74,75,57,48
236,Saint Paul Parish,6,-41.096092456982745,44.568246125,Ene,98,35,65,46,72,98,13,68,70,72,24,18,98,65
237,Saint Paul Parish,6,-41.096092456982745,44.568246125,hom,92,26,42,53,25,56,53,25,34,55,52,14,15,97
238,Saint Paul Parish,6,-41.096092456982745,44.568246125,Tra,61,43,21,58,26,24,59,26,61,12,66,62,88,84
239,Saint Paul Parish,6,-41.096092456982745,44.568246125,Una,66,40,92,85,93,56,49,95,84,66,93,14,76,76
240,Saint Peter Parish,6,-2.9875049,50.805436,Ayu,83,73,65,23,34,93,84,88,84,49,25,53,22,14
241,Saint Peter Parish,6,-2.9875049,50.805436,Chi,45,28,50,60,80,49,31,71,27,57,89,84,72,37
242,Saint Peter Parish,6,-2.9875049,50.805436,Den,26,73,41,81,63,35,34,24,87,23,66,10,21,10
243,Saint Peter Parish,6,-2.9875049,50.805436,Allo,97,66,71,68,12,44,40,55,17,81,69,37,37,66
244,Saint Peter Parish,6,-2.9875049,50.805436,Nat,86,79,58,32,87,86,55,61,98,60,81,55,24,23
245,Saint Peter Parish,6,-2.9875049,50.805436,Vet,36,47,44,16,84,18,41,52,34,72,56,52,85,86
246,Saint Peter Parish,6,-2.9875049,50.805436,Ene,13,75,16,17,35,86,28,61,39,21,99,66,61,96
247,Saint Peter Parish,6,-2.9875049,50.805436,hom,53,78,82,20,56,46,35,88,11,80,67,31,51,47
248,Saint Peter Parish,6,-2.9875049,50.805436,Tra,10,83,80,67,69,64,73,76,70,50,46,48,85,80
249,Saint Peter Parish,6,-2.9875049,50.805436,Una,41,43,62,32,69,57,28,67,84,10,57,70,50,20
250,Buenos Aires Province,7,-58.42955412,-34.60877742,Ayu,18,66,29,89,69,98,92,28,15,77,97,26,78,91
251,Buenos Aires Province,7,-58.42955412,-34.60877742,Chi,89,82,26,16,80,70,25,79,32,74,36,96,74,86
252,Buenos Aires Province,7,-58.42955412,-34.60877742,Den,38,97,61,16,22,28,40,43,13,65,83,66,72,43
253,Buenos Aires Province,7,-58.42955412,-34.60877742,Allo,80,40,62,97,76,60,42,50,25,72,24,74,24,18
254,Buenos Aires Province,7,-58.42955412,-34.60877742,Nat,75,74,60,34,79,84,11,52,83,31,88,22,20,96
255,Buenos Aires Province,7,-58.42955412,-34.60877742,Vet,58,24,38,68,24,83,99,57,10,27,20,54,94,88
256,Buenos Aires Province,7,-58.42955412,-34.60877742,Ene,68,40,57,40,40,78,99,99,48,39,54,66,92,33
